"","_","did","handle","createdAt","indexedAt","displayName","description","followersCount","followsCount","postsCount","avatar","labels","banner","associated.lists","associated.feedgens","associated.starterPacks","associated.labeler","pinnedPost.uri","pinnedPost.cid","associated.chat.allowIncoming","labels.0.src","labels.0.uri","labels.0.cid","labels.0.val","labels.0.cts"
"1",,"did:plc:3pj6w6ggoackjmj4xdjrlvzn","nachosamor.bsky.social","2025-02-07T08:49:45.845Z","2025-02-07T09:03:59.544Z","Nacho Sánchez Amor","🇪🇺Diputado Socialista en el Parlamento Europeo. AFET, DROI. Turquía. Extremadura.\n\n🇪🇺Spanish Socialist MEP. AFET, DROI, Türkiye, Extremadura.\n","14","38","0","1","[]","0","0","0","0","false","0","0",,,,,,
"2",,"did:plc:aksxjirp2zgd56hdxza4qq5l","nielsfuglsang.bsky.social","2025-01-21T18:14:45.545Z","2025-01-21T18:22:22.243Z","Niels Fuglsang","Member of the European Parliament, Social Democrat, works for sustainable economy + president for Animal Welfare Intergroup. Mail: niels.fuglsang@ep.europa.eu","199","115","13","1","[]","1","0","0","0","false","0","0",,,,,,
"3",,"did:plc:fxaonuvbn6fykcfwwpcnbjmx","petradesutter.bsky.social","2024-11-19T12:49:19.006Z","2025-02-03T13:35:44.745Z","Petra De Sutter","Federaal parlementslid Groen\nFormer Deputy Prime Minister of Belgium 🇧🇪🇪🇺","3784","74","32","1","[]","1","0","0","0","false","0","0",,,,,,
"4",,"did:plc:cbpo6futaeofshr3ao54vemr","jcoetjen.bsky.social","2023-11-06T18:13:10.097Z","2025-01-16T08:05:59.445Z","Jan-Christoph Oetjen","🇪🇺 MdEP für FDP und Renew Europe\n✈️ Zukunftsmobilität\n🤝 Europäische Migrationspolitik\n🕊️ Universelle Menschenrechte\n❤️🏠 Niedersachsen | Rotenburg","23","3","0","1","[]","0","0","0","0","false","0","0",,,,,,
"5",,"did:plc:n7as6vhdkxmmhibbieo5ohf7","adrianamaldonado.bsky.social","2024-11-15T22:52:46.636Z","2024-11-15T23:02:38.421Z","Adriana Maldonado","-Mama\n-Diputada en el Congreso por Navarra del PSOE .Ex-eurodiputada🇪🇺 \n-Mi lema “La felicidad se alcanza cuando lo que piensas,haces y dices está en armonía” Gandhi","226","61","3","1","[]","1","0","0","0","false","0","0",,,,,,
"6",,"did:plc:r7syi6tvz6vaksnmgytliha3","francoiskalfon.bsky.social","2024-11-20T10:25:32.969Z","2025-01-29T08:58:25.843Z","François Kalfon","Député européen 🇪🇺 PS/Place Publique - Membre du Bureau National du #PS 🌹- Penseur libre : garanti 100% sans langue de bois !","98","8","15","1","[]","1","0","0","0","false","1","1",,,,,,
"7",,"did:plc:cpl2hnowkj22mlsop6223vsj","lubicakarvasova.bsky.social","2025-01-24T08:21:41.843Z","2025-02-08T10:59:41.345Z","Lubica Karvasova","MEP 🇪🇺 | Vice-Chair of REGI Committee | Member of AFCO & INTA | EP Delegations: Korean peninsula & China | @reneweurope.bsky.social & Progresívne Slovensko | Former 🇸🇰 Sherpa","25","7","2","1","[]","1","0","0","0","false","0","0",,,,,,
"8",,"did:plc:zyjkdic6otsbqn5rnhnto4rk","nikospappas16.bsky.social","2025-01-22T18:20:07.243Z","2025-01-22T18:29:52.544Z","Νίκος Παππάς","Βουλευτής και κοινοβουλευτικός εκπρόσωπος ΣΥΡΙΖΑ - ΠΣ","23","19","2","1","[]","0","0","0","0","false","0","0",,,,,,
"9",,"did:plc:wnicduyyn4s2gmeds3dkh35z","jflopezaguilar.bsky.social","2025-01-15T17:02:54.744Z","2025-01-15T17:07:58.744Z","Juan F López Aguilar","Catedrático Derecho Constitucional, Portavoz Comisión Asuntos Constitucionales Parlamento Europeo. Miembro Comité Federal PSOE. Eurodiputado RUP","21","1","1","1","[]","0","0","0","0","false","0","0",,,,,,
"10",,"did:plc:7bnte2prom5dihwvjc4w5zpo","anamirandapaz.bsky.social","2024-11-18T17:22:37.447Z","2024-11-19T14:51:29.404Z","Ana Miranda","Nai. Eurodeputada @obloque\nTraballando por Galiza e as causas xustas da humanidade no Parlamento Europeo","251","3","0","1","[]","0","0","0","0","false","0","0",,,,,,
"11",,"did:plc:cr44w57sfl4xtshwtuawcmta","nprocaccini.bsky.social","2024-11-10T19:44:41.485Z","2024-11-16T01:08:23.701Z","Nicholas Procaccini","Gastroenterologist/Hepatologist (MD/JD). Cittadino degli Stati Uniti e Italia. Triple Hoo. #GoHoos #ForzaAzzurri  #Finoallafine ","81","231","8","1","[]","1","0","0","0","false","0","0",,,,,,
"12",,"did:plc:kdidpgseqfgmcmcgqavjt3bg","charlesgoerens.bsky.social","2025-01-09T09:18:43.443Z","2025-01-09T09:24:44.443Z","Charles Goerens","MEP Renew Europe\nDEVE-AFCO-AGRI","192","124","12","1","[]","1","0","0","0","false","0","0",,,,,,
"13",,"did:plc:oicn35vvy7ycs2ml2ktq4xzr","aurasalla.bsky.social","2025-01-16T09:27:37.844Z","2025-02-13T15:11:03.644Z","Aura Salla","PhD I Member of the European Parliament, ITRE Committee, @kokoomus 🇫🇮 @epp. Passionate about the future of the EU. 🇪🇺 Focus on tech, energy and competitiveness.","384","323","25","1","[]","1","0","0","0","false","0","0",,,,,,
"14",,"did:plc:netrw3k6bskh2rww5gng7a3u","rjukneviciene.bsky.social","2025-01-30T13:49:43.544Z","2025-02-11T11:28:29.344Z","Rasa Juknevičienė 🇱🇹🇪🇺","Member of the European Parliament, AFET Standing Rapporteur for Georgia\nFormer member of the Lithuanian Parliament / Former President of the NATO PA / former Minister of Defence of Lithuania","16","44","10","1","[]","1","0","0","0","false","0","0",,,,,,
"15",,"did:plc:jgl6lcxagm5hnpvfjtvumwqj","pellechristy.bsky.social","2023-11-09T08:15:44.924Z","2024-11-12T15:39:48.809Z","Pelle Geertsen","EU-geek, damn Lefty. \nHead of Press for Denmark's coolest MEP (Aka Per Clausen).\nMainly 🇩🇰🇨🇱 origins.\nRetweets are retweets, views are my own and snarkiness may occur.","549","645","352","1","[]","1","0","0","0","false","0","0",,,,,,
"16",,"did:plc:rxzh5d654hsidkpaebqq62fh","devauxvalerie.bsky.social","2024-12-04T13:06:49.553Z","2024-12-04T13:16:12.646Z","Valérie Devaux","Députée européenne UDI - Renew Europe\nConseillère départementale de la Somme","155","106","0","1","[]","1","0","0","0","false","0","0",,,,,,
